left_key	left_name	right_key	right_name	chosen_key
30490	Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Невском районе г. Санкт-Петербурга	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30490
30498	Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Петроградском районе г. Санкт-Петербурга	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30498
30502	Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Петродворцовом районе г. Санкт-Петербурга	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30502
30506	Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Приморском районе г. Санкт-Петербурга	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30506
30516	Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Тосненском районе	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30516
30522	Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Фрунзенском районе г. Санкт-Петербурга	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30522
30530	Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Центральном районе г. Санкт-Петербурга	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30530
30545	Отделение УФМС России по Санкт-Петербургу и Ленинградской области в Бокситогорском районе	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30545
30562	Отделение УФМС России по Санкт-Петербургу и Ленинградской области в Лужском районе	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30562
30567	Отделение УФМС России по Санкт-Петербургу и Ленинградской области в Подпорожском районе	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30567
30580	Отделение УФМС России по Санкт-Петербургу и Ленинграсдкой области в Курортном районе Санкт-Петербурга	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30580
31274	Отдел информационного обеспечения УФМС России по Тверской области	31269	Управление федеральной миграционной службы по Тверской области	31274
30942	Отдел УФМС России по Ханты-Мансийскому автономному округу - Югре в Сургутском районе	30941	Управление Федеральной миграционной службы по Ханты-Мансийскому автономному округу-Югре	30942
30960	Отделение УФМС России по Ханты-Мансийскому автономному округу - Югре в Октябрьском районе	30941	Управление Федеральной миграционной службы по Ханты-Мансийскому автономному округу-Югре	30960
30989	Отдел УФМС России по Челябинской области в г. Магнитогорске	30976	Управление Федеральной миграционной службы по Челябинской области	30989
815	Управление Федеральной службы судебных приставов по Белгородской области	169	Федеральная служба судебных приставов	815
817	Управление Федеральной службы судебных приставов по Владимирской области	169	Федеральная служба судебных приставов	817
28548	Отдел УФМС России по Белгородской области в Белгородском районе	28521	Управление Федеральной миграционной службы по Белгородской области	28548
28566	Межрайонный отдел УФМС России по Брянской области в гор. Дятьково	28562	Управление Федеральной миграционной службы по Брянской области	28566
28603	Межрайонный отдел УФМС России по Владимирской области в городе Владимире	28596	Управление Федеральной миграционной службы по Владимирской области	28603
28609	Межрайонный отдел УФМС России по Владимирской области в городе Коврове	28596	Управление Федеральной миграционной службы по Владимирской области	28609
28614	Отдел УФМС России по Владимирской области в Гусь-Хрустальном районе	28596	Управление Федеральной миграционной службы по Владимирской области	28614
28622	Отделение УФМС России по Владимирской области в Собинском районе	28596	Управление Федеральной миграционной службы по Владимирской области	28622
28624	Отделение УФМС России по Владимирской области в Суздальском районе	28596	Управление Федеральной миграционной службы по Владимирской области	28624
28972	Отделение УФМС России по Кемеровской области в г.Таштаголе	28921	Управление Федеральной миграционной службы по Кемеровской области	28972
29136	Отдел УФМС России по Красноярскому краю в г. Норильске	29122	Управление Федеральной миграционной службы по Красноярскому краю	29136
29167	Отделение УФМС России по Красноярскому краю в г. Шарыпово и Шарыповском районе	29122	Управление Федеральной миграционной службы по Красноярскому краю	29167
29145	Отделение УФМС России по Красноярскому краю в Енисейском районе	29122	Управление Федеральной миграционной службы по Красноярскому краю	29145
29149	Отделение УФМС России по Красноярскому краю в Курагинском районе	29122	Управление Федеральной миграционной службы по Красноярскому краю	29149
